Cluster_Label
21
7
3
19
8
8
11
11
1
11
11
5
2
2
14
20
11
11
11
7
11
7
11
11
11
11
11
2
11
11
6
11
1
7
11
11
0
11
15
11
9
5
12
10
17
11
11
4
11
11
3
0
11
11
11
6
18
11
11
11
11
7
11
11
11
16
1
11
11
7
13
